:Device: HC-V1
:Location: 1234
:User: 1234
:Mechanism: FINE KNOB
Timestamp,PacketNumber,Force1,Force2,Angle1,Angle2,Angle3,Angle4,Distance1,Distance2,Button1,Button2,Button3,Button4,Button5,Button6,Button7
0.018,1,1.89,-1.11,0.00,2.55,-0.09,0.00,2.49,2.38,1,1,1,1,1,1,1
0.051,2,1.89,-1.11,0.00,2.55,-0.09,0.00,2.47,2.37,1,1,1,1,1,1,1
0.084,3,1.89,-1.11,0.00,2.55,-0.09,0.00,2.43,2.28,1,1,1,1,1,1,1
0.101,4,1.89,-1.11,0.00,2.55,-0.09,0.00,2.46,2.38,1,1,1,1,1,1,1
0.101,5,1.89,-1.11,0.00,2.55,-0.09,0.00,2.46,2.38,1,1,1,1,1,1,1
0.118,6,1.89,-1.11,0.00,2.55,-0.09,0.00,2.47,2.38,1,1,1,1,1,1,1
0.118,7,1.89,-1.11,0.00,2.55,-0.09,0.00,2.47,2.38,1,1,1,1,1,1,1
0.118,8,1.89,-1.11,0.00,2.55,-0.09,0.00,2.49,2.37,1,1,1,1,1,1,1
0.118,9,1.89,-1.11,0.00,2.55,-0.09,0.00,2.48,2.39,1,1,1,1,1,1,1
0.118,10,1.89,-1.11,0.00,2.55,-0.09,0.00,2.47,2.39,1,1,1,1,1,1,1
0.118,11,1.89,-1.11,0.00,2.55,-0.09,0.00,2.47,2.39,1,1,1,1,1,1,1
0.134,12,1.89,-1.11,0.00,2.55,-0.09,0.00,2.47,2.39,1,1,1,1,1,1,1
0.151,13,1.89,-1.11,0.00,2.55,-0.09,0.00,2.46,2.38,1,1,1,1,1,1,1
0.168,14,1.89,-1.11,0.00,2.55,-0.09,0.00,2.47,2.39,1,1,1,1,1,1,1
0.168,15,1.89,-1.11,0.00,2.55,-0.09,0.00,2.46,2.36,1,1,1,1,1,1,1
0.184,16,1.89,-1.11,0.00,2.55,-0.09,0.00,2.48,2.37,1,1,1,1,1,1,1
0.184,17,1.89,-1.11,0.00,2.55,-0.09,0.00,2.46,2.38,1,1,1,1,1,1,1
0.201,18,1.89,-1.11,0.00,2.55,-0.09,0.00,2.49,2.38,1,1,1,1,1,1,1
0.201,19,1.89,-1.11,0.00,2.55,-0.09,0.00,2.35,2.33,1,1,1,1,1,1,1
0.201,20,1.89,-1.11,0.00,2.55,-0.09,0.00,2.47,2.38,1,1,1,1,1,1,1
0.217,21,1.89,-1.11,0.00,2.55,-0.09,0.00,2.41,2.26,1,1,1,1,1,1,1
0.234,22,1.89,-1.11,0.00,2.55,-0.09,0.00,2.47,2.39,1,1,1,1,1,1,1
0.251,23,1.89,-1.11,0.00,2.55,-0.09,0.00,2.46,2.39,1,1,1,1,1,1,1
0.251,24,1.89,-1.11,0.00,2.55,-0.09,0.00,2.48,2.38,1,1,1,1,1,1,1
0.284,25,1.89,-1.11,0.00,2.55,-0.09,0.00,2.38,2.33,1,1,1,1,1,1,1
0.284,26,1.89,-1.11,0.00,2.55,-0.09,0.00,2.48,2.39,1,1,1,1,1,1,1
0.301,27,1.89,-1.11,0.00,2.55,-0.09,0.00,2.42,2.27,1,1,1,1,1,1,1
0.301,28,1.89,-1.11,0.00,2.55,-0.09,0.00,2.47,2.38,1,1,1,1,1,1,1
0.318,29,1.89,-1.11,0.00,2.55,-0.09,0.00,2.48,2.39,1,1,1,1,1,1,1
0.318,30,1.89,-1.11,0.00,2.55,-0.09,0.00,2.48,2.38,1,1,1,1,1,1,1
0.334,31,1.89,-1.11,0.00,2.55,-0.09,0.00,2.46,2.37,1,1,1,1,1,1,1
0.335,32,1.89,-1.11,0.00,2.55,-0.09,0.00,2.47,2.37,1,1,1,1,1,1,1
0.384,33,1.89,-1.11,0.00,2.55,-0.09,0.00,2.43,2.25,1,1,1,1,1,1,1
0.401,34,1.89,-1.11,0.00,2.55,-0.09,0.00,2.45,2.37,1,1,1,1,1,1,1
0.434,35,1.89,-1.11,0.00,2.55,-0.09,0.00,2.46,2.37,1,1,1,1,1,1,1
0.434,36,1.89,-1.11,0.00,2.55,-0.09,0.00,2.49,2.40,1,1,1,1,1,1,1
0.434,37,1.89,-1.11,0.00,2.55,-0.09,0.00,2.48,2.39,1,1,1,1,1,1,1
0.434,38,1.89,-1.11,0.00,2.55,-0.09,0.00,2.46,2.37,1,1,1,1,1,1,1
0.434,39,1.89,-1.11,0.00,2.55,-0.09,0.00,2.47,2.37,1,1,1,1,1,1,1
0.451,40,1.89,-1.11,0.00,2.55,-0.09,0.00,2.47,2.40,1,1,1,1,1,1,1
0.451,41,1.89,-1.11,0.00,2.55,-0.09,0.00,2.46,2.37,1,1,1,1,1,1,1
0.468,42,1.89,-1.11,0.00,2.55,-0.09,0.00,2.49,2.39,1,1,1,1,1,1,1
0.484,43,1.89,-1.11,0.00,2.55,-0.09,0.00,2.47,2.38,1,1,1,1,1,1,1
0.501,44,1.89,-1.11,0.00,2.55,-0.09,0.00,2.46,2.38,1,1,1,1,1,1,1
0.518,45,1.89,-1.11,0.00,2.55,-0.09,0.00,2.49,2.39,1,1,1,1,1,1,1
0.518,46,1.89,-1.11,0.00,2.55,-0.09,0.00,2.46,2.37,1,1,1,1,1,1,1
0.518,47,1.89,-1.11,0.00,2.55,-0.09,0.00,2.47,2.37,1,1,1,1,1,1,1
0.534,48,1.89,-1.11,0.00,2.55,-0.09,0.00,2.46,2.38,1,1,1,1,1,1,1
0.534,49,1.89,-1.11,0.00,2.55,-0.09,0.00,2.42,2.32,1,1,1,1,1,1,1
0.551,50,1.89,-1.11,0.00,2.55,-0.09,0.00,2.47,2.39,1,1,1,1,1,1,1
0.567,51,1.89,-1.11,0.00,2.55,-0.09,0.00,2.48,2.39,1,1,1,1,1,1,1
0.568,52,1.89,-1.11,0.00,2.55,-0.09,0.00,2.49,2.38,1,1,1,1,1,1,1
0.584,53,1.89,-1.11,0.00,2.55,-0.09,0.00,2.49,2.40,1,1,1,1,1,1,1
0.601,54,1.89,-1.11,0.00,2.55,-0.09,0.00,2.48,2.38,1,1,1,1,1,1,1
0.601,55,1.89,-1.11,0.00,2.55,-0.09,0.00,2.46,2.32,1,1,1,1,1,1,1
0.617,56,1.89,-1.11,0.00,2.55,-0.09,0.00,2.48,2.39,1,1,1,1,1,1,1
0.634,57,1.89,-1.11,0.00,2.55,-0.09,0.00,2.48,2.35,1,1,1,1,1,1,1
0.634,58,1.89,-1.11,0.00,2.55,-0.09,0.00,2.46,2.37,1,1,1,1,1,1,1
