:Device: HC-V1
:Location: 1234
:User: 1234
:Mechanism: GRIP
Timestamp,PacketNumber,Force1,Force2,Angle1,Angle2,Angle3,Angle4,Distance1,Distance2,Button1,Button2,Button3,Button4,Button5,Button6,Button7
0.016,1,1.90,-1.11,39.29,-1.67,0.26,-0.35,2.46,2.35,1,1,1,1,1,1,1
0.016,2,1.90,-1.11,39.38,-1.67,0.26,-0.35,2.46,2.33,1,1,1,1,1,1,1
0.016,3,1.90,-1.11,39.46,-1.67,0.26,-0.35,2.48,2.37,1,1,1,1,1,1,1
0.032,4,1.90,-1.11,39.46,-1.67,0.26,-0.35,2.45,2.37,1,1,1,1,1,1,1
0.032,5,1.90,-1.11,39.55,-1.67,0.26,-0.35,2.47,2.38,1,1,1,1,1,1,1
0.049,6,1.90,-1.11,39.55,-1.67,0.26,-0.35,2.39,2.31,1,1,1,1,1,1,1
0.066,7,1.90,-1.11,39.55,-1.67,0.26,-0.35,2.48,2.38,1,1,1,1,1,1,1
0.083,8,1.90,-1.11,39.64,-1.67,0.26,-0.35,2.48,2.37,1,1,1,1,1,1,1
0.083,9,1.90,-1.11,39.64,-1.67,0.26,-0.35,2.47,2.38,1,1,1,1,1,1,1
0.083,10,1.90,-1.11,39.73,-1.67,0.26,-0.35,2.48,2.34,1,1,1,1,1,1,1
0.132,11,1.90,-1.11,39.81,-1.67,0.26,-0.35,2.47,2.38,1,1,1,1,1,1,1
0.133,12,1.90,-1.11,39.90,-1.67,0.26,-0.35,2.46,2.38,1,1,1,1,1,1,1
0.166,13,1.90,-1.11,40.08,-1.67,0.26,-0.35,2.44,2.36,1,1,1,1,1,1,1
0.182,14,1.90,-1.11,40.17,-1.67,0.26,-0.35,2.46,2.39,1,1,1,1,1,1,1
0.182,15,1.90,-1.11,40.34,-1.67,0.26,-0.35,2.48,2.38,1,1,1,1,1,1,1
0.182,16,1.90,-1.11,40.52,-1.67,0.26,-0.35,2.47,2.37,1,1,1,1,1,1,1
0.182,17,1.90,-1.11,40.61,-1.67,0.26,-0.35,2.44,2.38,1,1,1,1,1,1,1
0.182,18,1.90,-1.11,40.78,-1.67,0.26,-0.35,2.46,2.36,1,1,1,1,1,1,1
0.199,19,1.90,-1.11,40.87,-1.67,0.26,-0.35,2.45,2.39,1,1,1,1,1,1,1
0.216,20,1.90,-1.11,40.96,-1.67,0.26,-0.35,2.46,2.35,1,1,1,1,1,1,1
0.233,21,1.90,-1.11,41.04,-1.67,0.26,-0.35,2.47,2.35,1,1,1,1,1,1,1
0.249,22,1.90,-1.11,41.13,-1.67,0.26,-0.35,2.47,2.35,1,1,1,1,1,1,1
