:Device: HC-V1
:Location: 1234
:User: 1234
:Mechanism: HANDLE
Timestamp,PacketNumber,Force1,Force2,Angle1,Angle2,Angle3,Angle4,Distance1,Distance2,Button1,Button2,Button3,Button4,Button5,Button6,Button7
0.011,1,1.88,-1.11,0.26,-1.41,0.18,-0.18,2.48,2.38,1,1,1,1,1,1,1
0.011,2,1.88,-1.11,0.26,-1.41,0.18,-0.18,2.49,2.37,1,1,1,1,1,1,1
0.028,3,1.88,-1.11,0.26,-1.41,0.18,-0.18,2.49,2.37,1,1,1,1,1,1,1
0.028,4,1.88,-1.11,0.26,-1.41,0.18,-0.18,2.52,2.39,1,1,1,1,1,1,1
0.045,5,1.88,-1.11,0.26,-1.41,0.18,-0.18,2.47,2.38,1,1,1,1,1,1,1
0.061,6,1.88,-1.11,0.26,-1.41,0.18,-0.18,2.49,2.37,1,1,1,1,1,1,1
0.078,7,1.88,-1.11,0.26,-1.41,0.18,-0.18,2.50,2.34,1,1,1,1,1,1,1
0.111,8,1.88,-1.11,0.26,-1.41,0.18,-0.18,2.50,2.37,1,1,1,1,1,1,1
0.128,9,1.88,-1.11,0.26,-1.41,0.18,-0.18,2.49,2.37,1,1,1,1,1,1,1
0.144,10,1.88,-1.11,0.26,-1.41,0.18,-0.18,2.57,2.42,1,1,1,1,1,1,1
0.145,11,1.88,-1.11,0.26,-1.41,0.18,-0.18,2.49,2.38,1,1,1,1,1,1,1
0.145,12,1.88,-1.11,0.26,-1.41,0.18,-0.18,2.50,2.33,1,1,1,1,1,1,1
0.145,13,1.88,-1.11,0.26,-1.41,0.18,-0.18,2.49,2.35,1,1,1,1,1,1,1
0.161,14,1.88,-1.11,0.26,-1.41,0.18,-0.18,2.47,2.38,1,1,1,1,1,1,1
0.161,15,1.88,-1.11,0.26,-1.41,0.18,-0.18,2.49,2.35,1,1,1,1,1,1,1
0.178,16,1.88,-1.11,0.26,-1.41,0.18,-0.18,2.48,2.35,1,1,1,1,1,1,1
