:Device: HC-V1
:Location: 1234
:User: 1234
:Mechanism: KEY KNOB
Timestamp,PacketNumber,Force1,Force2,Angle1,Angle2,Angle3,Angle4,Distance1,Distance2,Button1,Button2,Button3,Button4,Button5,Button6,Button7
0.013,1,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.48,2.41,1,1,1,1,1,1,1
0.013,2,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.47,2.41,1,1,1,1,1,1,1
0.032,3,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.47,2.41,1,1,1,1,1,1,1
0.049,4,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.48,2.40,1,1,1,1,1,1,1
0.049,5,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.47,2.42,1,1,1,1,1,1,1
0.067,6,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.46,2.43,1,1,1,1,1,1,1
0.082,7,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.49,2.43,1,1,1,1,1,1,1
0.083,8,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.45,2.40,1,1,1,1,1,1,1
0.099,9,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.45,2.32,1,1,1,1,1,1,1
0.116,10,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.48,2.42,1,1,1,1,1,1,1
0.116,11,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.48,2.42,1,1,1,1,1,1,1
0.133,12,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.46,2.40,1,1,1,1,1,1,1
0.166,13,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.47,2.40,1,1,1,1,1,1,1
0.166,14,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.47,2.41,1,1,1,1,1,1,1
0.166,15,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.43,2.32,1,1,1,1,1,1,1
0.183,16,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.48,2.43,1,1,1,1,1,1,1
0.200,17,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.47,2.40,1,1,1,1,1,1,1
0.200,18,1.89,-1.11,0.00,1.32,-0.09,-1.14,2.49,2.43,1,1,1,1,1,1,1
