:Device: HC-V1
:Location: 1234
:User: 1234
:Mechanism: KNOB
Timestamp,PacketNumber,Force1,Force2,Angle1,Angle2,Angle3,Angle4,Distance1,Distance2,Button1,Button2,Button3,Button4,Button5,Button6,Button7
0.002,1,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.43,2.31,1,1,1,1,1,1,1
0.034,2,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.46,2.38,1,1,1,1,1,1,1
0.067,3,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.49,2.39,1,1,1,1,1,1,1
0.084,4,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.47,2.38,1,1,1,1,1,1,1
0.117,5,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.48,2.42,1,1,1,1,1,1,1
0.134,6,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.47,2.37,1,1,1,1,1,1,1
0.167,7,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.47,2.37,1,1,1,1,1,1,1
0.184,8,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.47,2.41,1,1,1,1,1,1,1
0.234,9,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.48,2.42,1,1,1,1,1,1,1
0.251,10,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.47,2.39,1,1,1,1,1,1,1
0.268,11,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.47,2.38,1,1,1,1,1,1,1
0.300,12,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.41,2.38,1,1,1,1,1,1,1
0.317,13,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.46,2.37,1,1,1,1,1,1,1
0.350,14,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.48,2.40,1,1,1,1,1,1,1
0.368,15,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.47,2.37,1,1,1,1,1,1,1
0.400,16,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.49,2.37,1,1,1,1,1,1,1
0.417,17,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.48,2.39,1,1,1,1,1,1,1
0.450,18,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.40,2.34,1,1,1,1,1,1,1
0.467,19,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.49,2.37,1,1,1,1,1,1,1
0.500,20,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.47,2.38,1,1,1,1,1,1,1
0.517,21,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.45,2.37,1,1,1,1,1,1,1
0.551,22,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.48,2.39,1,1,1,1,1,1,1
0.567,23,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.38,2.35,1,1,1,1,1,1,1
0.600,24,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.48,2.37,1,1,1,1,1,1,1
0.617,25,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.41,2.24,1,1,1,1,1,1,1
0.651,26,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.46,2.43,1,1,1,1,1,1,1
0.651,27,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.48,2.37,1,1,1,1,1,1,1
0.668,28,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.48,2.38,1,1,1,1,1,1,1
0.668,29,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.35,2.33,1,1,1,1,1,1,1
0.668,30,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.46,2.38,1,1,1,1,1,1,1
0.684,31,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.47,2.37,1,1,1,1,1,1,1
0.717,32,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.46,2.39,1,1,1,1,1,1,1
0.734,33,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.47,2.39,1,1,1,1,1,1,1
0.767,34,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.47,2.37,1,1,1,1,1,1,1
0.784,35,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.47,2.39,1,1,1,1,1,1,1
0.817,36,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.49,2.38,1,1,1,1,1,1,1
0.834,37,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.45,2.36,1,1,1,1,1,1,1
0.867,38,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.46,2.37,1,1,1,1,1,1,1
0.884,39,1.89,-1.11,0.00,-0.00,-0.00,0.00,2.46,2.37,1,1,1,1,1,1,1
