:Device: HC-V1
:Location: 1234
:User: 1234
:Mechanism: TRIPOD
Timestamp,PacketNumber,Force1,Force2,Angle1,Angle2,Angle3,Angle4,Distance1,Distance2,Button1,Button2,Button3,Button4,Button5,Button6,Button7
0.015,1,1.89,-1.11,0.00,1.85,16.79,-1.14,2.46,2.41,1,1,1,1,1,1,1
0.015,2,1.89,-1.11,0.00,1.85,16.79,-1.14,2.48,2.43,1,1,1,1,1,1,1
0.048,3,1.89,-1.11,0.00,1.85,16.79,-1.14,2.44,2.41,1,1,1,1,1,1,1
0.048,4,1.89,-1.11,0.00,1.85,16.79,-1.14,2.45,2.42,1,1,1,1,1,1,1
0.048,5,1.89,-1.11,0.00,1.85,16.79,-1.14,2.49,2.42,1,1,1,1,1,1,1
0.065,6,1.89,-1.11,0.00,1.85,16.79,-1.14,2.44,2.41,1,1,1,1,1,1,1
0.081,7,1.89,-1.11,0.00,1.85,16.79,-1.14,2.46,2.41,1,1,1,1,1,1,1
0.081,8,1.89,-1.11,0.00,1.85,16.79,-1.14,2.46,2.41,1,1,1,1,1,1,1
0.098,9,1.89,-1.11,0.00,1.85,16.79,-1.14,2.48,2.44,1,1,1,1,1,1,1
0.099,10,1.89,-1.11,0.00,1.85,16.79,-1.14,2.45,2.36,1,1,1,1,1,1,1
0.115,11,1.89,-1.11,0.00,1.85,16.79,-1.14,2.48,2.42,1,1,1,1,1,1,1
0.149,12,1.89,-1.11,0.00,1.85,16.79,-1.14,2.49,2.43,1,1,1,1,1,1,1
0.149,13,1.89,-1.11,0.00,1.85,16.79,-1.14,2.48,2.42,1,1,1,1,1,1,1
0.182,14,1.89,-1.11,0.00,1.85,16.79,-1.14,2.48,2.43,1,1,1,1,1,1,1
0.198,15,1.89,-1.11,0.00,1.85,16.79,-1.14,2.48,2.41,1,1,1,1,1,1,1
0.232,16,1.89,-1.11,0.00,1.85,16.79,-1.14,2.43,2.43,1,1,1,1,1,1,1
0.232,17,1.89,-1.11,0.00,1.85,16.79,-1.14,2.48,2.43,1,1,1,1,1,1,1
0.232,18,1.89,-1.11,0.00,1.85,16.79,-1.14,2.48,2.41,1,1,1,1,1,1,1
0.248,19,1.89,-1.11,0.00,1.85,16.79,-1.14,2.47,2.41,1,1,1,1,1,1,1
0.248,20,1.89,-1.11,0.00,1.85,16.79,-1.14,2.47,2.43,1,1,1,1,1,1,1
0.249,21,1.89,-1.11,0.00,1.85,16.79,-1.14,2.48,2.43,1,1,1,1,1,1,1
0.282,22,1.89,-1.11,0.00,1.85,16.79,-1.14,2.35,2.42,1,1,1,1,1,1,1
0.315,23,1.89,-1.11,0.00,1.85,16.79,-1.14,2.47,2.43,1,1,1,1,1,1,1
0.315,24,1.89,-1.11,0.00,1.85,16.79,-1.14,2.49,2.40,1,1,1,1,1,1,1
0.332,25,1.89,-1.11,0.00,1.85,16.79,-1.14,2.49,2.44,1,1,1,1,1,1,1
0.332,26,1.89,-1.11,0.00,1.85,16.79,-1.14,2.47,2.43,1,1,1,1,1,1,1
0.332,27,1.89,-1.11,0.00,1.85,16.79,-1.14,2.47,2.42,1,1,1,1,1,1,1
0.348,28,1.89,-1.11,0.00,1.85,16.79,-1.14,2.39,2.38,1,1,1,1,1,1,1
0.348,29,1.89,-1.11,0.00,1.85,16.79,-1.14,2.47,2.45,1,1,1,1,1,1,1
0.348,30,1.89,-1.11,0.00,1.85,16.79,-1.14,2.48,2.40,1,1,1,1,1,1,1
0.365,31,1.89,-1.11,0.00,1.85,16.79,-1.14,2.48,2.42,1,1,1,1,1,1,1
0.365,32,1.89,-1.11,0.00,1.85,16.79,-1.14,2.46,2.41,1,1,1,1,1,1,1
0.382,33,1.89,-1.11,0.00,1.85,16.79,-1.14,2.48,2.41,1,1,1,1,1,1,1
0.382,34,1.89,-1.11,0.00,1.85,16.79,-1.14,2.40,2.36,1,1,1,1,1,1,1
0.382,35,1.89,-1.11,0.00,1.85,16.79,-1.14,2.48,2.41,1,1,1,1,1,1,1
0.398,36,1.89,-1.11,0.00,1.85,16.79,-1.14,2.49,2.43,1,1,1,1,1,1,1
0.415,37,1.89,-1.11,0.00,1.85,16.79,-1.14,2.47,2.45,1,1,1,1,1,1,1
0.415,38,1.89,-1.11,0.00,1.85,16.79,-1.14,2.48,2.46,1,1,1,1,1,1,1
0.431,39,1.89,-1.11,0.00,1.85,16.79,-1.14,2.45,2.45,1,1,1,1,1,1,1
0.448,40,1.89,-1.11,0.00,1.85,16.79,-1.14,2.43,2.42,1,1,1,1,1,1,1
